Video URL,Comment Number,Comment Text
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,16,Vasa faathi
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,39,Seni ne kadar sevdiğimi biliyor musun?🩷
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,17,this means  unity is best. instead of solo.
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,16,เยี่ยม
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,18,I dare you to play in Bangladesh server
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,31,All noob killed show your ranked
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,17,Been playing since 2021 never sat down and watched someone else play cause I’m old school but this was so satisfying to watch new sub alert will be watching again
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,19,Are you Indian?
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,32,Lol
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,40,good player
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,18,Super hand
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,20,Hala madrid
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,33,First comment Pin please
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,41,Sensitivity vedio bro
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,19,CR7  suiii
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,34,i am rich
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,20,Assalamualaikum Bhai Big fan
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,35,I'm Dayless
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,21,Lovu
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,21,
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,22,Good job bang fatih
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,22,
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,23,Bro  love you
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,23,Thanks for 556 subscribe
